"Step","dulcet-rain-4 - train/sigreg","dulcet-rain-4 - train/sigreg__MIN","dulcet-rain-4 - train/sigreg__MAX"
"9228","4.53125","4.53125","4.53125"
"9241","4.34375","4.34375","4.34375"
"9274","4.5625","4.5625","4.5625"
"9334","4.34375","4.34375","4.34375"
"9363","4.84375","4.84375","4.84375"
"9368","4.625","4.625","4.625"
"9377","4.46875","4.46875","4.46875"
"9379","4.5","4.5","4.5"
"9406","4.84375","4.84375","4.84375"
"9425","4.40625","4.40625","4.40625"
"9458","4.4375","4.4375","4.4375"
"9469","4.3125","4.3125","4.3125"
"9479","3.921875","3.921875","3.921875"
"9502","4.4375","4.4375","4.4375"
"9534","3.71875","3.71875","3.71875"
"9564","3.984375","3.984375","3.984375"
"9621","4","4","4"
"9637","4.125","4.125","4.125"
"9644","3.640625","3.640625","3.640625"
"9648","3.84375","3.84375","3.84375"
"9665","5.03125","5.03125","5.03125"
"9667","3.796875","3.796875","3.796875"
"9700","4.5","4.5","4.5"
"9713","4.28125","4.28125","4.28125"
"9784","4.21875","4.21875","4.21875"
"9787","4.71875","4.71875","4.71875"
"9822","4.375","4.375","4.375"
"9869","4.5","4.5","4.5"
"9885","3.890625","3.890625","3.890625"
"9916","4","4","4"
"9942","4.53125","4.53125","4.53125"
"9966","4.46875","4.46875","4.46875"
"10026","4.0625","4.0625","4.0625"
"10062","4.5625","4.5625","4.5625"
"10109","4.4375","4.4375","4.4375"
"10131","3.9375","3.9375","3.9375"
"10138","4.40625","4.40625","4.40625"
"10139","4","4","4"
"10140","3.84375","3.84375","3.84375"
"10186","4.1875","4.1875","4.1875"
"10193","4.5625","4.5625","4.5625"
"10197","4.71875","4.71875","4.71875"
"10200","4.375","4.375","4.375"
"10218","3.890625","3.890625","3.890625"
"10243","3.734375","3.734375","3.734375"
"10262","3.953125","3.953125","3.953125"
"10271","4.40625","4.40625","4.40625"
"10282","4.3125","4.3125","4.3125"
"10302","4.34375","4.34375","4.34375"
"10324","3.890625","3.890625","3.890625"
"10329","4.3125","4.3125","4.3125"
"10388","3.6875","3.6875","3.6875"
"10415","3.953125","3.953125","3.953125"
"10488","4.34375","4.34375","4.34375"
"10504","4.21875","4.21875","4.21875"
"10559","4.1875","4.1875","4.1875"
"10599","4","4","4"
"10641","4.15625","4.15625","4.15625"
"10663","3.328125","3.328125","3.328125"
"10698","4.5","4.5","4.5"
"10733","3.75","3.75","3.75"
"10766","3.578125","3.578125","3.578125"
"10809","4.5625","4.5625","4.5625"
"10815","4.6875","4.6875","4.6875"
"10821","3.484375","3.484375","3.484375"
"10843","4.53125","4.53125","4.53125"
"10932","3.875","3.875","3.875"
"10968","3.9375","3.9375","3.9375"
"10986","4.3125","4.3125","4.3125"
"11016","4.3125","4.3125","4.3125"
"11020","4.1875","4.1875","4.1875"
"11021","4.15625","4.15625","4.15625"
"11103","4.40625","4.40625","4.40625"
"11111","4.1875","4.1875","4.1875"
"11160","3.8125","3.8125","3.8125"
"11170","4.15625","4.15625","4.15625"
"11197","3.90625","3.90625","3.90625"
"11198","4.53125","4.53125","4.53125"
"11219","3.90625","3.90625","3.90625"
"11269","4.78125","4.78125","4.78125"
"11272","4.03125","4.03125","4.03125"
